imagen,timestamp,planta_id,numero_plantas_total,area,ndvi_mean,ndvi_std
foto_2025-09-15_09-00-17,2025-09-15 09:00:17,3,3,972.0,-0.03767726942896843,0.0803411453962326
foto_2025-09-15_13-00-29,2025-09-15 13:00:29,1,2,1457.5,-0.16799332201480865,0.13197048008441925
foto_2025-09-15_13-00-29,2025-09-15 13:00:29,2,2,1029.5,-0.2001926749944687,0.07767944782972336
foto_2025-09-15_16-00-09,2025-09-15 16:00:09,1,3,687.5,-0.06477198749780655,0.14428506791591644
foto_2025-09-15_16-00-09,2025-09-15 16:00:09,2,3,634.0,-0.06582047045230865,0.13113528490066528
foto_2025-09-15_16-00-09,2025-09-15 16:00:09,3,3,1000.0,-0.06448636204004288,0.0755046010017395
foto_2025-09-16_09-00-28,2025-09-16 09:00:28,1,2,1452.0,-0.14794635772705078,0.14099715650081635
foto_2025-09-16_09-00-28,2025-09-16 09:00:28,2,2,1076.0,-0.1863524466753006,0.08662506937980652
foto_2025-09-16_13-00-09,2025-09-16 13:00:09,1,3,679.5,-0.06779143959283829,0.13796193897724152
foto_2025-09-16_13-00-09,2025-09-16 13:00:09,2,3,635.5,-0.05896001681685448,0.12883098423480988
foto_2025-09-16_13-00-09,2025-09-16 13:00:09,3,3,1098.5,-0.08481942862272263,0.08095980435609818
foto_2025-09-16_16-00-22,2025-09-16 16:00:22,1,3,678.0,-0.04897503927350044,0.12507739663124084
foto_2025-09-16_16-00-22,2025-09-16 16:00:22,2,3,631.5,-0.06537186354398727,0.13499650359153748
foto_2025-09-16_16-00-22,2025-09-16 16:00:22,3,3,1095.0,-0.07129880040884018,0.0937470868229866
foto_2025-09-17_09-00-03,2025-09-17 09:00:03,1,3,712.0,-0.13286125659942627,0.13784335553646088
foto_2025-09-17_09-00-03,2025-09-17 09:00:03,2,3,660.0,-0.16474317014217377,0.13172602653503418
foto_2025-09-17_09-00-03,2025-09-17 09:00:03,3,3,1090.0,-0.16333656013011932,0.07889383286237717
foto_2025-09-17_13-00-19,2025-09-17 13:00:19,1,3,725.5,-0.22724205255508423,0.25073888897895813
foto_2025-09-17_13-00-19,2025-09-17 13:00:19,2,3,724.5,-0.275175541639328,0.2065609097480774
foto_2025-09-17_13-00-19,2025-09-17 13:00:19,3,3,1050.0,-0.35584557056427,0.11586308479309082
foto_2025-09-17_16-00-28,2025-09-17 16:00:28,1,3,734.0,-0.07964657992124557,0.16637705266475677
foto_2025-09-17_16-00-28,2025-09-17 16:00:28,2,3,654.5,-0.08498550951480865,0.14896848797798157
foto_2025-09-17_16-00-28,2025-09-17 16:00:28,3,3,1033.0,-0.0783643126487732,0.08338978886604309
